,D1,D2,Cosine,Pearson,Euclidean,EDM,KS,Manhattan,Minkowski,Jaccard,Entropy
59,0-0-0,3-2-3,0.7487698325365166,0.7466011500127968,4.527259197974892,0.0017893392495526121,0.21133604878578677,38.99907426839832,2.583,0.003189792663476874,0.03132258924750009
60,0-0-0,3-3-0,0.773431959430159,0.7714910673386413,4.300407469186521,0.0017871580977831957,0.42050876022870864,37.01967625971333,2.479,0.003527336860670194,0.11976872170525055
61,0-0-0,3-3-1,0.7488733575224263,0.7467076315456095,4.526281701124621,0.0017923686483996906,0.17576350445354966,38.9615810354577,2.583,0.003236245954692557,0.033618726924010356
62,0-0-0,3-3-2,0.7484631479651547,0.7462936248118319,4.5303239534606385,0.0017957075274968798,0.189382867733048,39.00646859390288,2.585,0.0033783783783783786,0.08395174337374989
63,0-0-0,3-3-3,0.7488848235132293,0.7467200494322584,4.525973926955102,0.0017950005931654525,0.23518691271057976,38.95814151040467,2.583,0.0034423407917383822,0.09609668282904005
64,0-1-0,0-0-0,0.999995763974016,0.9999957345258911,0.019234080611248865,2.510995236208827e-05,0.9258384097415063,0.20039787031348041,0.011,0.0027816411682892906,0.009652664769279728
65,0-1-0,0-0-1,0.9999917636268935,0.9999917194011038,0.02658299680233306,3.7573174742698326e-05,0.9913057702149646,0.2997687645210642,0.014,0.002849002849002849,0.015978486857500807
66,0-1-0,0-0-2,0.9999974661408785,0.9999974422128955,0.014733223952649746,2.0634635053771023e-05,0.9992655485610181,0.1621239341340814,0.008,0.0027472527472527475,0.0019256280899665468
67,0-1-0,0-0-3,0.9999699918185456,0.9999696594074594,0.05111501222222085,4.264835809135683e-05,0.9799632019273475,0.45538027688568755,0.031,0.0031496062992125984,0.09001037970942116
68,0-1-0,0-1-0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
69,0-1-0,0-1-1,0.9999857087432898,0.9999855671545856,0.03539586490274402,3.1663055573815676e-05,0.9080138491793379,0.324611731087756,0.021,0.0029585798816568047,0.043301082980826355
70,0-1-0,0-1-2,0.9999983333514847,0.9999983151867077,0.01196510760646322,1.5608230350070016e-05,0.9978250839566695,0.13145943276892835,0.006,0.0027739251040221915,0.0006607837723243692
71,0-1-0,0-1-3,0.9999984248797265,0.9999984074268295,0.01163131281471203,1.3520694744521774e-05,0.9989177567690477,0.12452649535812654,0.006,0.0027739251040221915,0.0017861932623508547
72,0-1-0,0-2-0,0.9999536507831814,0.9999531921523535,0.06315800641150289,6.0830177067817675e-05,0.4712566771887356,0.6157133713653297,0.036,0.0033112582781456954,0.1496585717944997
73,0-1-0,0-2-1,0.9999772330823832,0.9999770105297696,0.045154402011554684,3.9521854955198214e-05,0.4712566771887356,0.3739984663621669,0.029,0.0029585798816568047,0.011555234942149606
74,0-1-0,0-2-2,0.9999801654678155,0.9999799612735515,0.04238004486631922,4.480550721160429e-05,0.9834371918660384,0.383008637994877,0.025,0.0030120481927710845,0.06175284437974882
75,0-1-0,0-2-3,0.9999967731225331,0.9999967494740475,0.016776988359944685,2.235713351676547e-05,0.9834371918660384,0.18034173665235187,0.009,0.0027816411682892906,0.004502164670333264
76,0-1-0,0-3-0,0.9999957232920201,0.9999956896120925,0.01927498866770752,2.3659359918310448e-05,0.9947322964825674,0.19917087300532862,0.011,0.0027739251040221915,0.007560557992632333
