,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
706,"[[184064   2154]
 [ 57169   6613]]","(array([0.        , 0.01156709, 1.        ]), array([0.        , 0.10368129, 1.        ]), array([2, 1, 0]))",0.10368128939199148,0.21829441495619198,0.762708,0.754305919926999,0.5460571006776946,8.195782217632607,0.18230437359577664,0.3344967121901872,svm,s-2-2-0,s-0-1-2
707,"[[321407   3748]
 [156579  18266]]","(array([0.        , 0.01152681, 1.        ]), array([0.        , 0.10446967, 1.        ]), array([2, 1, 0]))",0.10446967313906604,0.21603832593555325,0.679346,0.8297447079131461,0.5464714314242946,11.075002799916028,0.1855744466851909,0.34739312516878984,svm,s-2-2-0,s-0-1-3
708,"[[183761   2133]
 [ 57419   6687]]","(array([0.        , 0.01147428, 1.        ]), array([0.        , 0.10431161, 1.        ]), array([2, 1, 0]))",0.10431160889776309,0.21973524359499416,0.761792,0.7581632653061224,0.5464186639279396,8.22741966964416,0.18339138304582728,0.33641559173324215,svm,s-2-2-0,s-0-2-0
709,"[[38118   437]
 [10258  1187]]","(array([0.        , 0.01133446, 1.        ]), array([0.        , 0.10371341, 1.        ]), array([2, 1, 0]))",0.1037134119702927,0.21893404733167982,0.7861,0.7309113300492611,0.546189477350728,7.387851259352935,0.1816512357487183,0.3308065325232707,svm,s-2-2-0,s-0-2-1
710,"[[183774   2135]
 [ 57389   6702]]","(array([0.        , 0.01148411, 1.        ]), array([0.        , 0.10457006, 1.        ]), array([2, 1, 0]))",0.10457006443962491,0.2201025662322074,0.761904,0.7584021726830372,0.5465429756222299,8.22355133308471,0.18379771829749889,0.33699051679924374,svm,s-2-2-0,s-0-2-2
711,"[[321407   3748]
 [156579  18266]]","(array([0.        , 0.01152681, 1.        ]), array([0.        , 0.10446967, 1.        ]), array([2, 1, 0]))",0.10446967313906604,0.21603832593555325,0.679346,0.8297447079131461,0.5464714314242946,11.075002799916025,0.1855744466851909,0.34739312516878984,svm,s-2-2-0,s-0-2-3
712,"[[136284   1572]
 [100294  11850]]","(array([0.       , 0.0114032, 1.       ]), array([0.        , 0.10566771, 1.        ]), array([2, 1, 0]))",0.10566771294050506,0.20799518198190187,0.592536,0.8828788556101922,0.5471322547989433,14.07331301284453,0.1887453610053677,0.35728930483863186,svm,s-2-2-0,s-0-3-0
713,"[[25103   288]
 [22010  2599]]","(array([0.       , 0.0113426, 1.       ]), array([0.        , 0.10561177, 1.        ]), array([2, 1, 0]))",0.10561176805233857,0.20205182646060305,0.55404,0.9002424662279183,0.5471345831715357,15.402917326755565,0.18904567937154496,0.3594048178775894,svm,s-2-2-0,s-0-3-1
714,"[[136423   1604]
 [ 99887  12086]]","(array([0.        , 0.01162091, 1.        ]), array([0.        , 0.10793673, 1.        ]), array([2, 1, 0]))",0.10793673474855546,0.21052008353020202,0.594036,0.8828341855368882,0.5481579099999959,14.02150495060063,0.19235574512784193,0.3624357505712726,svm,s-2-2-0,s-0-3-2
715,"[[321407   3748]
 [156579  18266]]","(array([0.        , 0.01152681, 1.        ]), array([0.        , 0.10446967, 1.        ]), array([2, 1, 0]))",0.10446967313906604,0.21603832593555325,0.679346,0.8297447079131461,0.5464714314242946,11.075002799916028,0.1855744466851909,0.34739312516878984,svm,s-2-2-0,s-0-3-3
716,"[[136174   1643]
 [100283  11900]]","(array([0.        , 0.01192161, 1.        ]), array([0.        , 0.10607668, 1.        ]), array([2, 1, 0]))",0.10607667828458857,0.20688314718680167,0.592296,0.8786827143173596,0.5470775360483363,14.081602546264973,0.18930054244945357,0.3576688407321692,svm,s-2-2-0,s-0-4-0
717,"[[25039   305]
 [21988  2668]]","(array([0.        , 0.01203441, 1.        ]), array([0.        , 0.10820896, 1.        ]), array([2, 1, 0]))",0.10820895522388059,0.20332367723765227,0.55414,0.8974100235452405,0.548087274329112,15.399463720979199,0.1931304064569836,0.36499945277443363,svm,s-2-2-0,s-0-4-1
718,"[[136253   1560]
 [100454  11733]]","(array([0.        , 0.01131969, 1.        ]), array([0.        , 0.10458431, 1.        ]), array([2, 1, 0]))",0.10458431012505906,0.20673606619258814,0.591944,0.8826450011284135,0.5466323116515306,14.09375993008964,0.18700988205291683,0.35477355329918536,svm,s-2-2-0,s-0-4-2
719,"[[321407   3748]
 [156579  18266]]","(array([0.        , 0.01152681, 1.        ]), array([0.        , 0.10446967, 1.        ]), array([2, 1, 0]))",0.10446967313906604,0.21603832593555325,0.679346,0.8297447079131461,0.5464714314242946,11.075002799916025,0.1855744466851909,0.34739312516878984,svm,s-2-2-0,s-0-4-3
720,"[[   267   8546]
 [  6639 234548]]","(array([0.        , 0.96970385, 1.        ]), array([0.        , 0.97247364, 1.        ]), array([2, 1, 0]))",0.9724736407849511,0.0031166348788111927,0.93926,0.9648448748220853,0.5013848970973434,2.097912611665429,0.9686442375397754,0.9663610377046764,svm,s-2-2-0,s-1-1-0
721,"[[   35  1301]
 [ 1362 47302]]","(array([0.       , 0.9738024, 1.       ]), array([0.        , 0.97201217, 1.        ]), array([2, 1, 0]))",0.9720121650501398,-0.0017518070050491297,0.94674,0.9732321050140937,0.4991048849202795,1.8395560363180772,0.9726217524957077,0.9729878721058433,svm,s-2-2-0,s-1-1-1
722,"[[   253   8696]
 [  6312 234739]]","(array([0.        , 0.97172868, 1.        ]), array([0.        , 0.97381467, 1.        ]), array([2, 1, 0]))",0.9738146699246217,0.0024235057888353307,0.939968,0.96427793866946,0.5010429925776868,2.073459637736291,0.9690228407012793,0.9661703124241122,svm,s-2-2-0,s-1-1-2
